N	//directed
N	//weighted
30	//number of vertices
1	//(out) degree of vertex 1
2	//arc/link to vertex 2
1	//(out) degree of vertex 2
3	//arc/link to vertex 3
1	//(out) degree of vertex 3
4	//arc/link to vertex 4
1	//(out) degree of vertex 4
5	//arc/link to vertex 5
1	//(out) degree of vertex 5
6	//arc/link to vertex 6
1	//(out) degree of vertex 6
7	//arc/link to vertex 7
1	//(out) degree of vertex 7
8	//arc/link to vertex 8
1	//(out) degree of vertex 8
9	//arc/link to vertex 9
1	//(out) degree of vertex 9
10	//arc/link to vertex 10
1	//(out) degree of vertex 10
11	//arc/link to vertex 11
1	//(out) degree of vertex 11
12	//arc/link to vertex 12
1	//(out) degree of vertex 12
13	//arc/link to vertex 13
1	//(out) degree of vertex 13
14	//arc/link to vertex 14
1	//(out) degree of vertex 14
15	//arc/link to vertex 15
1	//(out) degree of vertex 15
16	//arc/link to vertex 16
1	//(out) degree of vertex 16
17	//arc/link to vertex 17
1	//(out) degree of vertex 17
18	//arc/link to vertex 18
1	//(out) degree of vertex 18
19	//arc/link to vertex 19
1	//(out) degree of vertex 19
20	//arc/link to vertex 20
1	//(out) degree of vertex 20
21	//arc/link to vertex 21
1	//(out) degree of vertex 21
22	//arc/link to vertex 22
1	//(out) degree of vertex 22
23	//arc/link to vertex 23
1	//(out) degree of vertex 23
24	//arc/link to vertex 24
1	//(out) degree of vertex 24
25	//arc/link to vertex 25
1	//(out) degree of vertex 25
26	//arc/link to vertex 26
1	//(out) degree of vertex 26
27	//arc/link to vertex 27
1	//(out) degree of vertex 27
28	//arc/link to vertex 28
1	//(out) degree of vertex 28
29	//arc/link to vertex 29
1	//(out) degree of vertex 29
30	//arc/link to vertex 30
1	//(out) degree of vertex 30
1	//arc/link to vertex 1
