N	//directed
N	//weighted
17	//number of vertices
5	//(out) degree of vertex 1
3	//arc/link to vertex 3
4	//arc/link to vertex 4
7	//arc/link to vertex 7
10	//arc/link to vertex 10
13	//arc/link to vertex 13
4	//(out) degree of vertex 2
4	//arc/link to vertex 4
12	//arc/link to vertex 12
15	//arc/link to vertex 15
16	//arc/link to vertex 16
3	//(out) degree of vertex 3
1	//arc/link to vertex 1
7	//arc/link to vertex 7
6	//arc/link to vertex 6
5	//(out) degree of vertex 4
1	//arc/link to vertex 1
2	//arc/link to vertex 2
8	//arc/link to vertex 8
12	//arc/link to vertex 12
14	//arc/link to vertex 14
3	//(out) degree of vertex 5
7	//arc/link to vertex 7
8	//arc/link to vertex 8
14	//arc/link to vertex 14
2	//(out) degree of vertex 6
3	//arc/link to vertex 3
11	//arc/link to vertex 11
3	//(out) degree of vertex 7
1	//arc/link to vertex 1
3	//arc/link to vertex 3
5	//arc/link to vertex 5
3	//(out) degree of vertex 8
4	//arc/link to vertex 4
5	//arc/link to vertex 5
14	//arc/link to vertex 14
1	//(out) degree of vertex 9
10	//arc/link to vertex 10
2	//(out) degree of vertex 10
1	//arc/link to vertex 1
15	//arc/link to vertex 15
1	//(out) degree of vertex 11
6	//arc/link to vertex 6
4	//(out) degree of vertex 12
2	//arc/link to vertex 2
4	//arc/link to vertex 4
16	//arc/link to vertex 16
17	//arc/link to vertex 17
1	//(out) degree of vertex 13
1	//arc/link to vertex 1
3	//(out) degree of vertex 14
4	//arc/link to vertex 4
5	//arc/link to vertex 5
8	//arc/link to vertex 8
2	//(out) degree of vertex 15
2	//arc/link to vertex 2
10	//arc/link to vertex 10
2	//(out) degree of vertex 16
2	//arc/link to vertex 2
12	//arc/link to vertex 12
1	//(out) degree of vertex 17
12	//arc/link to vertex 12
